"";"sentimentTerm";"score"
"798";"empfehlenswert";0,093
"799";"empfehlung";0,004
"800";"empören";-0,0048
"801";"empörung";-0,0048
"802";"ende";-0,2088
"803";"energielos";-0,3037
"804";"energielosigkeit";-0,0048
"805";"energisch";0,004
"806";"engagement";0,2157
"807";"engagieren";0,004
"808";"engagiert";0,0869
"809";"engstirnig";-0,3199
"810";"enorm";0,0898
"811";"entbehrungsreich";-0,0048
"812";"entbinden";-0,0048
"813";"entbindung";-0,0048
"814";"entfremden";-0,0048
"815";"entfremdung";-0,0048
"816";"entführen";-0,0048
"817";"entführung";-0,0048
"818";"entgleiten";-0,0048
"819";"enthaupten";-0,0048
"820";"enthauptung";-0,0048
"821";"enthusiastisch";0,004
"822";"entkräftet";-0,0048
"823";"entlassen";-0,0048
"824";"entlassung";-0,0048
"825";"entlasten";0,004
"826";"entlastung";0,004
"827";"entlohnen";0,004
"828";"entlohnung";0,004
"829";"entmutigen";-0,0048
"830";"entmutigung";-0,0048
"831";"entnervt";-0,0048
"832";"enträtseln";0,004
"833";"entrüstet";-0,0048
"834";"entschädigen";0,004
"835";"entschädigung";0,004
"836";"entschlossen";0,004
"837";"entschluß";0,0804
"838";"entschlüsseln";0,004
"839";"entschlüsselung";0,004
"840";"entschwinden";-0,1827
"841";"entsetzlich";-0,477
"842";"entspannen";0,2406
"843";"entspannung";0,0875
"844";"enttäuschen";-0,0586
"845";"enttäuschend";-0,0425
"846";"enttäuscht";-0,3129
"847";"enttäuschung";-0,3378
"848";"entwirren";0,004
"849";"entwirrung";0,004
"850";"entwürdigend";-0,3132
"851";"entziehen";-0,0048
"852";"entziehung";-0,0048
"853";"entzückend";0,0844
"854";"epidemie";-0,0048
"855";"epochal";0,004
"856";"erarbeiten";0,004
"857";"erbärmlich";-0,4796
"858";"erbe";0,004
"859";"erben";0,004
"860";"erbittert";-0,0048
"861";"erbost";-0,3293
"862";"erbrechen";-0,3308
"863";"erdrückend";-0,0048
"864";"erfahren";0,0927
"865";"erfahrung";0,004
"866";"erfolg";0,3446
"867";"erfolgreich";0,2193
"868";"erfolgserlebnis";0,0884
"869";"erfreuen";0,2112
"870";"erfreulich";0,2197
"871";"erfreulicher";0,004
"872";"erfrischend";0,2227
"873";"erfüllen";0,004
"874";"erfüllung";0,004
"875";"ergänzen";0,2074
"876";"ergänzung";0,004
"877";"ergaunern";-0,0048
"878";"ergebnislos";-0,0048
"879";"ergebnisreich";0,004
"880";"ergiebig";0,004
"881";"ergiebigkeit";0,004
"882";"erhalten";0,004
"883";"erhältlich";0,004
"884";"erhaltung";0,004
"885";"erhebend";0,004
"886";"erheblich";0,004
"887";"erhöhen";0,004
"888";"erhöhung";0,004
"889";"erholen";0,2357
"890";"erholsam";0,2188
"891";"erholung";0,0865
"892";"erkennbar";0,004
"893";"erklärt";0,004
"894";"erklimmen";0,004
"895";"erlauben";0,004
"896";"erlaubnis";0,004
"897";"erleichtern";0,004
"898";"erleichterung";0,004
"899";"erleiden";-0,3494
"900";"erleuchten";0,004
"901";"erleuchtung";0,004
"902";"erliegen";-0,3296
"903";"erlösen";0,004
"904";"erlösung";0,004
"905";"ermahnen";-0,0048
"906";"ermahnung";-0,0048
"907";"ermöglichen";0,004
"908";"ermorden";-0,3292
"909";"ermordung";-0,332
"910";"ermüden";-0,0048
"911";"ermüdung";-0,0048
"912";"ermunternd";0,004
"913";"ermutigen";0,004
"914";"ermutigend";0,0735
"915";"ermutigung";0,004
"916";"erneuern";0,004
"917";"erneuerung";0,004
"918";"erniedrigen";-0,0048
"919";"erniedrigung";-0,3259
"920";"ernsthaft";0,004
"921";"ernsthaftigkeit";0,004
"922";"ernüchternd";-0,0048
"923";"ernüchterung";-0,0048
"924";"erosion";-0,0666
"925";"erpressen";-0,0048
"926";"erpressung";-0,0048
"927";"erreichen";0,004
"928";"erschaffen";0,004
"929";"erschießen";-0,3317
"930";"erschlaffen";-0,0048
"931";"erschlagen";-0,3442
"932";"erschlossen";0,004
"933";"erschöpfen";-0,0048
"934";"erschöpft";-0,0377
"935";"erschöpfung";-0,0595
"936";"erschrecken";-0,1812
